msk_cancer_type,n_samples,matched_rare_cancer
Mature T and NK Neoplasms,1,
Adrenocortical Adenoma,1,
Small Cell Carcinoma of the Ovary,1,
Secondary Osteosarcoma,1,Secondary osteosarcoma
T-Lymphoblastic Leukemia/Lymphoma,1,T-lymphoblastic leukemia/lymphoma
Desmoid/Aggressive Fibromatosis,1,
Histiocytic Dendritic Cell Sarcoma,1,
Serous Ovarian Cancer,1,
Pleomorphic Xanthoastrocytoma,1,Pleomorphic xanthoastrocytoma
Pleomorphic Carcinoma of the Lung,1,Pulmonary sarcomatoid carcinoma
Acute Myeloid Leukemia,1,
Cellular Schwannoma,1,
Cervical Clear Cell Carcinoma,1,Clear cell adenocarcinoma of the cervix
Mesonephric Carcinoma,1,
High-Grade Neuroendocrine Carcinoma of the Ovary,1,
Intestinal Type Mucinous Carcinoma,1,
Intestinal Type Stomach Adenocarcinoma,1,
Small Cell Carcinoma of Unknown Primary,1,
Basaloid Penile Squamous Cell Carcinoma,1,
Primary Mediastinal (Thymic) Large B-Cell Lymphoma,1,
Basaloid Large Cell Carcinoma of the Lung,1,
"Craniopharyngioma, Adamantinomatous Type",1,Adamantinomatous craniopharyngioma
Anaplastic Large Cell Lymphoma,1,Anaplastic large cell lymphoma
Myxopapillary Ependymoma,1,Myxopapillary ependymoma
Mucinous Carcinoma,1,
Glomangiosarcoma,1,Malignant glomus tumor
Proximal-Type Epithelioid Sarcoma,1,Epithelioid sarcoma
Serous Cystadenoma of the Pancreas,1,
Pancreatoblastoma,1,Pancreatoblastoma
Cervical Endometrioid Carcinoma,1,
Breast Ductal Carcinoma In Situ,1,
Myxoma,1,
Medullary Carcinoma of the Colon,1,Medullary carcinoma of the colon
Ciliated Muconodular Papillary Tumor of the Lung,1,
Tubular Stomach Adenocarcinoma,1,
Perihilar Cholangiocarcinoma,1,Perihilar cholangiocarcinoma
Plasma Cell Myeloma,1,
Ependymomal Tumor,1,
Renal Clear Cell Carcinoma with Sarcomatoid Features,1,
Pituitary Adenoma,1,
Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma),1,
Central Neurocytoma,1,Central neurocytoma
Liposarcoma,1,Liposarcoma
